frame_number,landmark,x,y,z
0,NOSE,0.5870368480682373,0.3686363101005554,-0.02880845032632351
0,LEFT_EYE_INNER,0.589755654335022,0.3541695773601532,-0.009997970424592495
0,LEFT_EYE,0.5887071490287781,0.3530983328819275,-0.010089832358062267
0,LEFT_EYE_OUTER,0.5876851677894592,0.35186755657196045,-0.010124650783836842
0,RIGHT_EYE_INNER,0.5894225835800171,0.35410499572753906,-0.0597040057182312
0,RIGHT_EYE,0.5881305932998657,0.35315269231796265,-0.05973196029663086
0,RIGHT_EYE_OUTER,0.5868566036224365,0.35206758975982666,-0.059850286692380905
0,LEFT_EAR,0.5723455548286438,0.3452305197715759,0.07660834491252899
0,RIGHT_EAR,0.5722538828849792,0.34508198499679565,-0.14608043432235718
0,MOUTH_LEFT,0.5751314163208008,0.37561774253845215,0.008641400374472141
0,MOUTH_RIGHT,0.574400782585144,0.37465938925743103,-0.05654103308916092
0,LEFT_SHOULDER,0.5144097805023193,0.39009618759155273,0.23683440685272217
0,RIGHT_SHOULDER,0.5321095585823059,0.3917182981967926,-0.2798721492290497
0,LEFT_ELBOW,0.5181514024734497,0.4937759041786194,0.2720203101634979
0,RIGHT_ELBOW,0.5357144474983215,0.49207955598831177,-0.32585203647613525
0,LEFT_WRIST,0.552946925163269,0.5771474242210388,0.17580725252628326
0,RIGHT_WRIST,0.5655338168144226,0.5766394138336182,-0.24504029750823975
0,LEFT_PINKY,0.5659269690513611,0.6100612878799438,0.18243460357189178
0,RIGHT_PINKY,0.5755443572998047,0.5991411805152893,-0.27869513630867004
0,LEFT_INDEX,0.5718826651573181,0.6129314303398132,0.14263302087783813
0,RIGHT_INDEX,0.5809153914451599,0.5952870845794678,-0.261245995759964
0,LEFT_THUMB,0.5668736696243286,0.5920066833496094,0.15377825498580933
0,RIGHT_THUMB,0.5751546621322632,0.587700366973877,-0.23508742451667786
0,LEFT_HIP,0.4403466582298279,0.5591096878051758,0.17097890377044678
0,RIGHT_HIP,0.4485728144645691,0.5636457800865173,-0.17113640904426575
0,LEFT_KNEE,0.4921182096004486,0.6697252988815308,0.3159731924533844
0,RIGHT_KNEE,0.4644404351711273,0.7314702272415161,-0.16119182109832764
0,LEFT_ANKLE,0.5253762006759644,0.7604482769966125,0.4839251935482025
0,RIGHT_ANKLE,0.44472843408584595,0.8852478265762329,-0.13593220710754395
0,LEFT_HEEL,0.5181491374969482,0.7817438840866089,0.4961481988430023
0,RIGHT_HEEL,0.4290788769721985,0.9110658764839172,-0.14139460027217865
0,LEFT_FOOT_INDEX,0.5896098613739014,0.7763108015060425,0.4696878492832184
0,RIGHT_FOOT_INDEX,0.5068456530570984,0.9084293246269226,-0.25609254837036133
1,NOSE,0.5869684815406799,0.3687036633491516,-0.026931772008538246
1,LEFT_EYE_INNER,0.5897566080093384,0.3541845381259918,-0.008293320424854755
1,LEFT_EYE,0.5887149572372437,0.35311365127563477,-0.008383280597627163
1,LEFT_EYE_OUTER,0.5876999497413635,0.35187867283821106,-0.00840216688811779
1,RIGHT_EYE_INNER,0.5894445180892944,0.35413026809692383,-0.059518974274396896
1,RIGHT_EYE,0.588175892829895,0.3531753420829773,-0.059545792639255524
1,RIGHT_EYE_OUTER,0.5868901610374451,0.3520785868167877,-0.059665389358997345
1,LEFT_EAR,0.5724631547927856,0.34524887800216675,0.07933555543422699
1,RIGHT_EAR,0.5714662075042725,0.3449190557003021,-0.15116247534751892
1,MOUTH_LEFT,0.5751179456710815,0.3757551610469818,0.011367760598659515
1,MOUTH_RIGHT,0.5744008421897888,0.3749178349971771,-0.05620782449841499
1,LEFT_SHOULDER,0.5142372846603394,0.3900972604751587,0.24177142977714539
1,RIGHT_SHOULDER,0.533873438835144,0.39170676469802856,-0.2848658859729767
1,LEFT_ELBOW,0.5154296159744263,0.4921046793460846,0.2754114270210266
1,RIGHT_ELBOW,0.5360732078552246,0.4920955300331116,-0.3371504545211792
1,LEFT_WRIST,0.553584098815918,0.5764802694320679,0.17897821962833405
1,RIGHT_WRIST,0.5655667185783386,0.576617956161499,-0.27955105900764465
